ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_BIEN,DESCRIPCION_BIEN,CARACTERISTICAS_BIEN,VALOR_BIEN
PERUANOS POR EL KAMBIO,CONGRESISTA,TERESA JESUS,GONZALES HUAMAN,TERRENO ACHIRO,APROX 8 Ha 2700 MSNM,QUEBRADA CRECE ARBOLES FRUTALES,15000
PERUANOS POR EL KAMBIO,CONGRESISTA,VICTOR ALFONSO,SANCHEZ ZERILLO,VALORES,ACCIONES ,COMUNES,165897
PERUANOS POR EL KAMBIO,CONGRESISTA,VICTOR VIDAL,PINO ZAMBRANO,ACCIONES,DE LA UNIVERSIDAD GLOBAL,ACCIONISTA,28000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Paisanas con Bultos,No registra proveedor,2800
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcángel Arcabucero,proveedor: José Ignacio Lambarri,30000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Retrato de Niña,Autor: Teodoro Núñez Ureta (atribuida),4500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Esquina de San Cayetano,Autora: Cristina Carmán,15000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Marina de Guido Strazza,No hay proveedor,90000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Inmaculada concepción,proveedor: José Ignacio Lambarri,17000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Adoración de los pastores,No registra proveedor,15000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcangel Arcabucero-Rafael,No registra proveedor,30000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,El Problema del Globo,Autor: Teodoro Nuñez Ureta,3000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Solar de Barranco,Autor: Carlos Solari,4300
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Puerta II (De la serie Pachacamac),Autor: Dare Dovijenko,7140
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Virgen de la Candelaria,Proveedor: José Ignacio Lambarri,8000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Descanso a la huida a Egipto de la Sagrada Familia,Proveedor: José Ignacio Lambarri,20000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Santa Rosa,No registra proveedor,5000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,El Cristo en la silla,No registra proveedor,12000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,San Eloy ,No registra proveedor,15000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Espejo,Cajamarquino,No registra,1100
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,San Francisco de Asís,proveedor: José Ignacio Lambarri,8500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcángel San Miguel,proveedor: José Ignacio Lambarri,5300
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,"Broad Street, New York",Miguel Wautzo (atribuida),2000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Virgen de la Leche,No registra proveedor,15000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,"Callejón Alababas, Cusco","Autor: Miguel Wautzo (atribuida), proveedor José Ignacio Lambarri",2500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,"Callejón Alababas, Cusco","Autor: Miguel Wautzo (atribuida), proveedor José Ignacio Lambarri",2500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Retorno a Egipto,proveedor: José Ignacio Lambarri,8300
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,San Rafael,No registra proveedor,5500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcangel San Miguel,No tiene proveedor,10000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcangel Arcabucero-Ariel,No presenta proveedor,30000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcangel Arcabucero - Gabriel Dei,No presenta proveedor,18000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Santa Rosa,No presenta proveedor,25000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Santo Tomás de Aquino,Proveedor José Ignacio Lambarri,12000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Sin título (Estudiante de espaldas),No registra proveedor,3500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Virgen del Rosario con Donantes,No registra proveedor,8000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Llamas de oelo,Autor: José Sabogal,9000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Nacimiento de la Virgen María (Momentos previos),No registra proveedor,18500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Virgen del Rosario con Santa Rosa de Lima ,proveedor: José Ignacio Lambarri,20500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Santísima Trinidad con la Virgen,proveedor: José Ignacio Lambarri,30000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Virgen del Rosario con Santo Domingo y Santo Tomás de Aquino,No registra proveedor,10000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Adoración de la Santísima Eucaristía,No tiene proveedor,13350
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Dos Caminos a Mendieta,Autor: Fernando de Szyszlo ,18101
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Señor de los Temblores ,Escuela Cusqueña - Siglo XVIII,6000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Santa Lucía,No registra proveedor,10000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Miguel Arcangel,No registra proveedor,8500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Virgen del Rosario con Santo Domingo,Proveedor: Jose Ignacio Lambarri,6500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Alegoría del Santísimo Sacramento,proveedor: José Ignacio Lambarri,50000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Ciudad,Autor: Miguel Wautzo,1500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Sit (Carretera),Fotografía de Hans Stoll,1666
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,La anunciación,No registra proveedor,15000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,La Visitación,Proveedor: José Ignacio Lambarri,10000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cerámicas,Varias,No registra,500
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,San Antonio de Padua,proveedor: José Ignacio Lambarri,4000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Nuestra Señora de la Merced - La Peregrina,No registra proveedor,15000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,San José con el Niño,Proveedor: José Ignacio Lambarri,8000
PERUANOS POR EL KAMBIO,PRESIDENTE DE LA REPUBLICA,PEDRO PABLO,KUCZYNSKI GODARD,Cuadro,Arcángel San Gabriel,No hay proveedor,28000
PERUANOS POR EL KAMBIO,PRIMER VICEPRESIDENTE DE LA REPUBLICA,MARTIN ALBERTO,VIZCARRA CORNEJO,Acciones,Pertenen a C Y M Vizcarra S.A.C,35% del total,2100000
PERUANOS POR EL KAMBIO,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MERCEDES ROSALBA,ARAOZ FERNANDEZ,Joyas,Oro y plata,Varias,20000
PERUANOS POR EL KAMBIO,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MERCEDES ROSALBA,ARAOZ FERNANDEZ,Objetos de arte,Cuadros/Escultura,Varios,200000
PROGRESANDO PERU,CONGRESISTA,ANGEL,CARMEN CALDERON,NIGUNO,NINGUNO,NINGUNO,0
PROGRESANDO PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,MANUEL EDUARDO JULIO,PONCE AYALA,ACCIONES,TITULO VALOR,COMUNES,34091076
TODOS POR EL PERU,CONGRESISTA,ALAN,BENEL CERNA,Motocicleta,Suzuki GN 125,Negra,4000
TODOS POR EL PERU,CONGRESISTA,ANA CECILIA,LOPEZ SALAZAR,DEPARTAMENTO ,URB. ASIS MZ E LOTE 1 DPTO 209,FLAT SACHACA,650000
TODOS POR EL PERU,CONGRESISTA,ANA CECILIA,LOPEZ SALAZAR,PREDIO RURAL,CALLE CUSCO 133,PARCELA 9,1350000
TODOS POR EL PERU,CONGRESISTA,ANA CECILIA,LOPEZ SALAZAR,DEPARTAMENTO,EDIFICIO BAVARIA,FLAT  1001,650000
TODOS POR EL PERU,CONGRESISTA,CAROLINA,LIZARRAGA HOUGHTON,MUEBLES Y ENSERES,MENAJE Y ARTÍCULOS DEL HOGAR,MENAJE,60000
TODOS POR EL PERU,CONGRESISTA,CAROLINA,LIZARRAGA HOUGHTON,JOYAS Y COLECCIONES,JOYAS Y COLECCIONES,"ORO, BRILLANTES, PIEDRAS PRECIOSAS",150000
TODOS POR EL PERU,CONGRESISTA,EDUARDO,LADRON DE GUEVARA PAWELEC,Pintura de Gianna Polarollo,Pintura - Cuadro,Cuadro natural surrealista,14000
TODOS POR EL PERU,CONGRESISTA,MANUEL OSCAR,RODRIGUEZ TORRES,Motocicleta,AO-0616,Color amarillo,1500
TODOS POR EL PERU,CONGRESISTA,MARITZA,CHIROQUE SANDOVAL,JOYAS,"CADENAS,SORTIJAS,AROS,RELOJES",ORO 18K,19000
TODOS POR EL PERU,CONGRESISTA,RUTH,GUTIERREZ ORE,Motocicleta ,Zenke 110 - 2007,Placa: MI 78027,2000
