ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,PROCESO_ELECTORAL,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL,CARGO_ELEGIDO
ACCION POPULAR,CONGRESISTA,ULDARICO BALDOMERO,CASTILLO RAMOS,ELECCIONES MUNICIPALES 2010,ACCION POPULAR,2011,2013,ALCALDE(SA) DISTRITAL
ACCION POPULAR,CONGRESISTA,VICENTE ARMANDO,ROJAS CAPISTRANO ,MUNICIPAL 2002,UNIDAD NACIONAL,2003,2006,ALCALDE(SA) DISTRITAL
ACCION POPULAR,CONGRESISTA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 2006,"ALIANZA ELECTORAL ""FRENTE DE CENTRO""",2006,2011,CONGRESISTA
ACCION POPULAR,CONGRESISTA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 1990,"ALIANZA ELECTORAL ""FREDEMO""",1990,1992,DIPUTADO(A)
ACCION POPULAR,CONGRESISTA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 2011,"ALIANZA ELECTORAL ""PERU POSIBLE""",2011,2016,CONGRESISTA
ACCION POPULAR,CONGRESISTA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 1985,"PARTIDO POLITICO ""ACCION POPULAR""",1985,1990,DIPUTADO(A)
ACCION POPULAR,CONGRESISTA,VICTOR MANUEL,BELAUNDE GONZALES,ELECCIONES COMPLEMENTARIAS DEL 2013,ACCION POPULAR,2014,2014,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,VICTOR MARIANO,MARIN NEYRA,1980,ACCIÓN POPULAR,1981,1983,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,VICTOR MARIANO,MARIN NEYRA,1983,ACCIÓN POPULAR ,1984,1986,REGIDOR(A) PROVINCIAL
ACCION POPULAR,CONGRESISTA,YONHY,LESCANO ANCIETA,2011,ACCION POPULAR,2011,2016,CONGRESISTA
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,ELECCIONES GENERALES 1985,PARTIDO APRISTA PERUANO,1985,1990,DIPUTADO(A)
ACCION POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 2011,"ALIANZA ELECTORAL ""PERU POSIBLE""",2011,2016,CONGRESISTA
ACCION POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 2006,"ALIANZA ELECTORAL ""FRENTE DE CENTRO""",2006,2011,CONGRESISTA
ACCION POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 1990,"ALIANZA ELECTORAL ""FREDEMO""",1990,1992,DIPUTADO(A)
ACCION POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,VICTOR ANDRES,GARCIA BELAUNDE,ELECCIONES GENERALES 1985,"PARTIDO POLITICO ""ACCION POPULAR""",1985,1990,DIPUTADO(A)
ACCION POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,RICARDO EDMUNDO,DEL AGUILA MOROTE,1990,ACCION POPULAR / FREDEMO,1990,1992,DIPUTADO(A)
