ORGANIZACION_POLITICA,NOMBRE_COMPLETO,LUGAR_POSTULA,SEXO
ACCION POPULAR,HUMBERTO CONSTANTINO ANDRADE ANGULO,PUNO  ,MASCULINO
ACCION POPULAR,MILAGROS DEL CARMEN SUAREZ CARO DE GARATE,SAN MARTIN  ,FEMENINO
ACCION POPULAR,TSETSEG ELSA NUNCANQUIT QUIROZ,AMAZONAS  ,FEMENINO
ACCION POPULAR,ELIO ROLANDO SESEN MARIANO,AMAZONAS  ,MASCULINO
ACCION POPULAR,GLORIA ALBINA ALVARADO ROMERO,LIMA  ,FEMENINO
ACCION POPULAR,YOLANDA MORI RAMIREZ,SAN MARTIN  ,FEMENINO
ACCION POPULAR,MARIA LUISA RAMIREZ CHUMBE ,LORETO  ,FEMENINO
ACCION POPULAR,JUAN JOSE ROCHA LOPEZ,SAN MARTIN  ,MASCULINO
ACCION POPULAR,FERNANDO GARCIA LOPEZ,SAN MARTIN  ,MASCULINO
ACCION POPULAR,ROSINA CARMEN CUTIMBO VARGAS,TACNA  ,FEMENINO
ACCION POPULAR,JULIO SALVADOR CORREA CHAVEZ,LA LIBERTAD  ,MASCULINO
ACCION POPULAR,NORMA JUDITH TORRES LOZANO,LA LIBERTAD  ,FEMENINO
ACCION POPULAR,CESAR GILMER MENDOZA MENDOZA,LA LIBERTAD  ,MASCULINO
ACCION POPULAR,EDELMIRA RAMOS LOZANO,CAJAMARCA  ,FEMENINO
ACCION POPULAR,JOSE ROSELL RUBIO MONTEZA,LAMBAYEQUE  ,MASCULINO
ACCION POPULAR,JOEL ALEX CAMPOS FLORES,CAJAMARCA  ,MASCULINO
ACCION POPULAR,LUDGERIO ABANTO ALBARRAN,CAJAMARCA  ,MASCULINO
ACCION POPULAR,FERNANDO AGUILAR CASTILLO,LIMA  ,MASCULINO
ACCION POPULAR,CELIA ROSA QUISPE RICALDE,CUSCO  ,FEMENINO
ACCION POPULAR,LUIS ANGEL ARAGON CARREÑO,CUSCO  ,MASCULINO
ACCION POPULAR,VICTOR MARIANO MARIN NEYRA,TACNA  ,MASCULINO
ACCION POPULAR,JUSTINA APAZA LOPEZ,LIMA  ,FEMENINO
ACCION POPULAR,ARMANDO VILLANUEVA MERCADO,CUSCO  ,MASCULINO
ACCION POPULAR,KELLY AMANDA SOTO ENRIQUEZ,CUSCO  ,FEMENINO
ACCION POPULAR,ERIC SEGURA TTITO,MADRE DE DIOS  ,MASCULINO
ACCION POPULAR,CARLOS CCANAHUIRE LAURA,CUSCO  ,MASCULINO
ACCION POPULAR,JANETH QUISPE PAITAN,HUANCAVELICA  ,FEMENINO
ACCION POPULAR,HUGO ESAUD BENDEZU HUARCAYA,ICA  ,MASCULINO
ACCION POPULAR,ELIAS ROBERTO BARZOLA BARZOLA,HUANCAVELICA  ,MASCULINO
ACCION POPULAR,WILDER HERMIAS INCHAUSTEGUI FERNANDEZ,HUANUCO  ,MASCULINO
ACCION POPULAR,ANTONIO REYLES TALENAS VERROCAL,HUANUCO  ,MASCULINO
ACCION POPULAR,JIMMY ANTONIO PONCE RIVERA,ANCASH  ,MASCULINO
ACCION POPULAR,BLANCA MARIA ROCHA VDA DE JANZ,ICA  ,FEMENINO
ACCION POPULAR,VALERIANA ELIZABETH YEPEZ YOVED,LIMA  ,FEMENINO
ACCION POPULAR,MARIA SHEILA PATRICIA LAZO DEL CARPIO,LIMA  ,FEMENINO
ACCION POPULAR,ISABEL DAVILA CARDENAS,HUANUCO  ,FEMENINO
ACCION POPULAR,EDWIN JAVIER MARTINEZ CONCHA,AREQUIPA  ,MASCULINO
ACCION POPULAR,CARMEN ROSSANA MONROY PIEROLA DE TALLEDO,AREQUIPA  ,FEMENINO
ACCION POPULAR,MIGUEL ROMAN VALDIVIA,AREQUIPA  ,MASCULINO
ACCION POPULAR,ANGEL YBARHUEN ORTEGAL,AREQUIPA  ,MASCULINO
ACCION POPULAR,SONIA DOLORES JIMENEZ QUISPE,AYACUCHO  ,FEMENINO
ACCION POPULAR,MARIO ACOSTA QUISPE,AYACUCHO  ,MASCULINO
ACCION POPULAR,JOSE HUGUIER SANCHEZ CHAVEZ,AYACUCHO  ,MASCULINO
ACCION POPULAR,GIOVANNA ELIZABETH CASTRO VILLANUEVA,CAJAMARCA  ,FEMENINO
ACCION POPULAR,MANUEL ARTURO BRINGAS VARGAS,CAJAMARCA  ,MASCULINO
ACCION POPULAR,VICTOR LEON LEON,CAJAMARCA  ,MASCULINO
ACCION POPULAR,JUAN CARLOS MERINO CASTRO,LIMA  ,MASCULINO
ACCION POPULAR,MANUEL ARTURO MERINO DE LAMA,TUMBES  ,MASCULINO
ACCION POPULAR,LUIS HUMBERTO SIME BALLADARES,LAMBAYEQUE  ,MASCULINO
ACCION POPULAR,MARIA ELENA SALVATIERRA RAMOS,ANCASH  ,FEMENINO
ACCION POPULAR,OSCAR ENRIQUE ZAVALETA SANCHEZ,ANCASH  ,MASCULINO
ACCION POPULAR,YULIANA MARGOT SILVA RONCAL,ANCASH  ,FEMENINO
ACCION POPULAR,MARGARITA YSABEL YSLA GUIDO,LIMA  ,FEMENINO
ACCION POPULAR,VICTOR MANUEL BELAUNDE GONZALES,LIMA  ,MASCULINO
ACCION POPULAR,PEDRO ADOLFO FERNANDEZ PAREDES,AREQUIPA  ,MASCULINO
ACCION POPULAR,EDULFO DE JESUS ARAUJO MEJIA,UCAYALI  ,MASCULINO
ACCION POPULAR,MARIA ROSARIO CASTILLO CARRION,CALLAO  ,FEMENINO
ACCION POPULAR,OLGA MOREANO VARGAS,CALLAO  ,FEMENINO
ACCION POPULAR,NORMA DEL ROCIO CAVASSA YSLA,LIMA  ,FEMENINO
ACCION POPULAR,ELENA VICTORIA OLSSON NAVARRO,UCAYALI  ,FEMENINO
ACCION POPULAR,JHOSSELYN JHEYDI QUIROZ PALACIOS,LIMA  ,FEMENINO
ACCION POPULAR,IBO URBIOLA SIERRA,LIMA  ,MASCULINO
ACCION POPULAR,BALTAZAR LANTARON NUÑEZ,APURIMAC  ,MASCULINO
ACCION POPULAR,RILDO ALARCON HUAYHUA,APURIMAC  ,MASCULINO
ACCION POPULAR,JULIO MORENO CARRASCO,CALLAO  ,MASCULINO
ACCION POPULAR,OSWALDO RUBEN ALFARO JIMENEZ,ICA  ,MASCULINO
ACCION POPULAR,DELISIA CACERES LOPEZ,APURIMAC  ,FEMENINO
ACCION POPULAR,YONHY LESCANO ANCIETA,LIMA  ,MASCULINO
ACCION POPULAR,MARIA ELENA GUILLEN NUÑEZ,AREQUIPA  ,FEMENINO
ACCION POPULAR,ANA MARIA BUSTAMANTE SANCHEZ,AMAZONAS  ,FEMENINO
ACCION POPULAR,MARIA LOURDES LLANO FLORES,PUNO  ,FEMENINO
ACCION POPULAR,MARTHA CLARET ROMANI CRUZ,PUNO  ,FEMENINO
ACCION POPULAR,RUFINO MACHACA QUINTO,PUNO  ,MASCULINO
ACCION POPULAR,MOISES CAYO PACHAURI,PUNO  ,MASCULINO
ACCION POPULAR,LUIS CARLOS SIMEON HURTADO,PASCO  ,MASCULINO
ACCION POPULAR,AMELIA HILDA CELIS SOTO,PASCO  ,FEMENINO
ACCION POPULAR,GLORIA ESTHER CHIROQUE QUIÑONES,PIURA  ,FEMENINO
ACCION POPULAR,MARITZA DORALINDA GIL ORDINOLA,PIURA  ,FEMENINO
ACCION POPULAR,LEOPOLDO ANIBAL ALBAÑIL ORDINOLA,PIURA  ,MASCULINO
ACCION POPULAR,LUIS SEGUNDO YOVERA CHICOMA,LIMA  ,MASCULINO
ACCION POPULAR,AZAEL CORDOVA CASTILLO,TUMBES  ,MASCULINO
ACCION POPULAR,JORGE EDUARDO APONTE REY,PIURA  ,MASCULINO
ACCION POPULAR,SHEILLAH MARIA MILAGROS MIÑANO BAUTISTA,TACNA  ,FEMENINO
ACCION POPULAR,LENIN ALEJANDRO ESPINOZA VALERIO,ANCASH  ,MASCULINO
ACCION POPULAR,JUAN CARLOS RUIZ SALDAÑA,LIMA  ,MASCULINO
ACCION POPULAR,MARIA CONCEPCION HUAMAN GUADALUPE,LIMA  ,FEMENINO
ACCION POPULAR,CARMELA TEODORA APOLAYA HIDALGO ,LIMA LIMA ,FEMENINO
ACCION POPULAR,GLADYS TERESA LUGO VALENZUELA,LIMA LIMA ,FEMENINO
ACCION POPULAR,VICENTE ARMANDO ROJAS CAPISTRANO ,LIMA LIMA ,MASCULINO
ACCION POPULAR,ULDARICO BALDOMERO CASTILLO RAMOS,LIMA LIMA ,MASCULINO
ACCION POPULAR,NARDY ANGELICA CARDAMA GONZALES ,LORETO  ,FEMENINO
ACCION POPULAR,JAVIER ENRIQUE ROCHA MORENO ,LORETO  ,MASCULINO
ACCION POPULAR,JORGE RAFAEL FOINQUINOS MERA ,LORETO  ,MASCULINO
ACCION POPULAR,HUGO POMPEYO TUESTA SALDAÑA,UCAYALI  ,MASCULINO
ACCION POPULAR,JANET CORISEPA NERY,MADRE DE DIOS  ,FEMENINO
ACCION POPULAR,PATRICIA ROSA MALDONADO SOTOMAYOR,MOQUEGUA  ,FEMENINO
ACCION POPULAR,QUINTILIANO HUACHO MAMANI,MOQUEGUA  ,MASCULINO
ACCION POPULAR,EDGARDO ARTURO ESCOBAR PORRAS,PASCO  ,MASCULINO
ACCION POPULAR,LUIS ALBERTO MARTIN FRANCO MORA,LIMA  ,MASCULINO
ACCION POPULAR,NORMA TEODORA MARIA MARTINEZ CASTILLO,LIMA  ,FEMENINO
ACCION POPULAR,CARLOS PEDRO ORTIZ SEGURA,LIMA  ,MASCULINO
ACCION POPULAR,AUGUSTO REY HERNANDEZ DE AGUERO,LIMA  ,MASCULINO
ACCION POPULAR,CARLOS FERNANDO HERRERA DESCALZI,LIMA  ,MASCULINO
ACCION POPULAR,CARLOS ALBERTO LAINEZ PALACIOS,PIURA  ,MASCULINO
ACCION POPULAR,PAUL GABRIEL GARCIA OVIEDO,CALLAO  ,MASCULINO
ACCION POPULAR,PAOLA LUISA ALIAGA HUATUCO,LIMA  ,FEMENINO
ACCION POPULAR,CARLOS ANDRES TRELLES SARAZU,LIMA  ,MASCULINO
ACCION POPULAR,JORGE LUIS QUINTANA GARCIA GODOS,LIMA  ,MASCULINO
ACCION POPULAR,JUAN MARIANO NAVARRO PANDO,LIMA  ,MASCULINO
ACCION POPULAR,EDMUNDO DEL AGUILA HERRERA,LIMA  ,MASCULINO
ACCION POPULAR,YANETT FERIA DE TONG,PIURA  ,FEMENINO
ACCION POPULAR,GLADYS MARLENE ORTIZ RODRIGUEZ,LAMBAYEQUE  ,FEMENINO
ACCION POPULAR,ELVA M TAPIA BAZAN,LAMBAYEQUE  ,FEMENINO
ACCION POPULAR,BERNARDINO LALOPU SILVA,LAMBAYEQUE  ,MASCULINO
ACCION POPULAR,SINCLAIR EDMUNDO GERARDO SEMINARIO ANGELATS,PIURA  ,MASCULINO
ACCION POPULAR,RICARDO LADERA SUZUKI,MADRE DE DIOS  ,MASCULINO
ACCION POPULAR,JUAN CARLOS MERINO HUAMAN,LIMA  ,MASCULINO
ACCION POPULAR,JOSE FELIX ROMAN FERREYRA,LIMA  ,MASCULINO
ACCION POPULAR,CESAR AUGUSTO LFJP MARMOL WITTGRUBER,LIMA  ,MASCULINO
ACCION POPULAR,VICTOR JUAN VALDIVIA REYES,LIMA  ,MASCULINO
ACCION POPULAR,LUIS FERNANDO OLAZABAL CONDE,LIMA  ,MASCULINO
ACCION POPULAR,CARMEN ROSA AGUILAR ALGUIAR,LIMA  ,FEMENINO
ACCION POPULAR,PEDRO GUILLERMO ROSARIO TUEROS,LIMA  ,MASCULINO
ACCION POPULAR,VICTOR ANDRES GARCIA BELAUNDE,LIMA  ,MASCULINO
ACCION POPULAR,MIDA RAQUEL PONCE VALERA,TUMBES  ,FEMENINO
ACCION POPULAR,SAMUEL ANAYA CANGANA,LIMA  ,MASCULINO
ACCION POPULAR,HOVER JULIO PARIONA YAURI,HUANCAVELICA  ,MASCULINO
ACCION POPULAR,SILVIA ROSARIO CHAVEZ SAAVEDRA,ICA  ,FEMENINO
ACCION POPULAR,CARLOS ENRIQUE MORALES MANSILLA,JUNIN  ,MASCULINO
ACCION POPULAR,PEDRO ANTONIO MORALES MANSILLA,JUNIN  ,MASCULINO
ACCION POPULAR,ERNESTO WALTER NUÑEZ PALACIOS,JUNIN  ,MASCULINO
ACCION POPULAR,RAUL BENJAMIN PIZARRO MAYORCA,LIMA  ,MASCULINO
ACCION POPULAR,AMELIA PILAR SOSA DAMIAN,JUNIN  ,FEMENINO
ACCION POPULAR,LIVIA SOLEDAD MAYOR MONTESINOS,JUNIN  ,FEMENINO
ACCION POPULAR,ANA MARIA DEL ROSARIO RIOS NEGREIROS,LA LIBERTAD  ,FEMENINO
ACCION POPULAR,SHANDE ROSSANA VIDAL LAU DE KOLLE,LA LIBERTAD  ,FEMENINO
ACCION POPULAR,OSCAR RAFAEL BENAVIDES RUIZ,LA LIBERTAD  ,MASCULINO
ACCION POPULAR,YURI MARTIN ARMAS PEÑA,LA LIBERTAD  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LUIS ALBERTO PILLACA MOROTE,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ROSARIO FRANCHESCA SALINAS ARAUCANO,ANCASH  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LITA MIRIAM PEREZ VEGA,ANCASH  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JAIME ROOSEWELT MINAYA CASTROMONTE,ANCASH  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,TITO HUGO HUAMAN LOPEZ,ICA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JULIO CARDENAS SANCHEZ,SAN MARTIN  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JUAN AGUSTIN RODRIGUEZ CARBAJAL,AMAZONAS  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,AMNA ZOLY ORDOÑEZ RAMIREZ,SAN MARTIN  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,WALTER REATEGUI CUEVA,SAN MARTIN  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LINDA MAYRA GARCIA GIL,SAN MARTIN  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,RUTH JANETH DUEÑAS COLQUE,MADRE DE DIOS  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MILAGROS JUDITH SILVA CHIRA,PIURA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ERNESTO ADOLFO FLORES VILLAVICENCIO,LA LIBERTAD  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ROXANA ESTHER SANCHEZ LAVADO,LA LIBERTAD  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,DANNY EMILIO ARROYO RUBIO,LA LIBERTAD  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ELMER YUBINO URIOL VELA,MADRE DE DIOS  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ELVA ALEJANDRA VERTIZ CASTRO ,LIMA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MIGUEL ANGEL GUEVARA SANTOS,LA LIBERTAD  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARIELA DANISSA VEGA SANCHEZ,CAJAMARCA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ABEL CHILON CASTREJON,CAJAMARCA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MANUEL RIVAS QUISPE ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ABEL AYARZA ROMERO,CUSCO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARLENY SONCCO FARFAN,CUSCO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARTHA CHILO TANCAYLLO,CUSCO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,GUSTAVO IHUI UMASI,CUSCO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,TEODULO FELIPE PEÑA MEZA,JUNIN  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,DAISY SADID REVATTA OLANO,HUANCAVELICA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CRISANTO CIRILO ABREGU CANALES,HUANCAVELICA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JULIO CESAR PARIONA HUAMAN,HUANCAVELICA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ISAAC FREDY SERNA GUZMAN ,ICA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CHARITO PONCE BRAVO,HUANUCO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,HERNAN SUAREZ TOLEDO,HUANUCO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,OSCAR CORDOVA BASILIO,HUANUCO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CARLOS MAGNO CHACON FLORES,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,OSWALDO HERNANDEZ ORMEÑO ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,AIDA AZUCENA LOZANO TRUJILLO,ICA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,NOELIA VERONICA GALLEGOS GONZALES,AREQUIPA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JOSE AUGUSTO ARCE PAREDES ,AREQUIPA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LEONOR CASA ZEBALLOS ,AREQUIPA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,GUSTAVO BERNARDO RONDON FUDINAGA,AREQUIPA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARCO TULIO SOTO GUTIERREZ,TACNA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,VICTOR HUGO AGUILAR CHAVEZ ,AREQUIPA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JOSE LUIS ALPACA DEZA,PUNO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LEONARDA LUZGARDA COARITE LAURA,TACNA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JOSE HINOSTROZA AUCASIME,AYACUCHO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ARLES OGOSI HUAMANI,AYACUCHO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,DEYANIRA FARFAN CHAUCA,AYACUCHO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,WILDER VICTORIANO CHAVEZ MARIN ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JOSE MIGUEL BRIONES SILVA,CAJAMARCA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LUZ SHANINA TERRONES GARCIA,CAJAMARCA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,REYNALDO GARCIA BAZAN,CAJAMARCA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JOSE ROMULO VASQUEZ DIAZ,CAJAMARCA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,HECTOR SIMON MAQUERA CHAVEZ,TACNA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JAIME ANTONIO VASQUEZ ACOSTA ,TUMBES  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CARMEN ROSA VILLALOBOS GALLARDO ,TUMBES  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,EMMA LIZBEHT DIAZ ALVAREZ,LA LIBERTAD  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,BARTOLOME LUIS BRONCANO FLORES,ANCASH  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARCIA MONTERO LARA,LIMA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,WILLIAMS MERCEDES CALDERON LOZADA,UCAYALI  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JAIRO DEL AGUILA RODRIGUEZ,LORETO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ROMINA CAROLINA VARGAS BARDALES,UCAYALI  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ZENON FARFAN CRUZADO,APURIMAC  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CARMEN ROSA LLOCLLA CHAYCO,CALLAO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,OBDULIA PRADA TELLO,APURIMAC  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,IBAR QUINTANA MOSCOSO,APURIMAC  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,FERMIN MESTAS PACOMPIA,PUNO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LUIS DANTE ZUBIA CORTEZ,MOQUEGUA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PORFIRIO VARGAS QUISPE,PUNO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,GLADYS FLORENCIA CCUNO YUCRA DE HUANCA,PUNO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,WILFREDO QUISPE GUTIERREZ ,AREQUIPA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ELSY MADELEYNE MAMANI LOPEZ,PUNO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JUAN HILMER GONZALES SANDOVAL ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,GUISSELLA AYDE COLLANTES VÁSQUEZ,AMAZONAS  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MERINO TRIGOSO PINEDO,AMAZONAS  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JUAN DAVID PERRY CRUZ,MADRE DE DIOS  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ROMAN LUIS MARCELO CALLUPE,PASCO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ORESTES POMPEYO SANCHEZ LUIS ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,GABY PILAR CORDOVA ALVAREZ,JUNIN  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,RODOLFO ALLEM ROJAS VILLANUEVA,PASCO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,AMERICO CABECILLA GALVEZ,JUNIN  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,REYNA DEL ROSARIO ROSAS YOVERA DE JARA,PIURA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,SANTOS MARIA SULUCO DELGADO,PIURA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CESAR AUGUSTO SANDOVAL NIZAMA,PIURA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LUIS HERACLIO CASTRO RAMIREZ,PIURA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,JOSE AFRANIO OJEDA IZAGUIRRE,PIURA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,FLORESMILO GUERRERO NEYRA,PIURA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ELIO NICOLAS ARCAYA TASAYCO,CALLAO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CECILIA YOLISA CHACON RIVERA,CALLAO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,EDELMIRA NELIDA UGALDE EVANGELISTA ,LIMA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MIRIAN ROSANA BOCANEGRA SANTOS ,LIMA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CARLOS ALBERTO SOSA ESTUPIÑAN,UCAYALI  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,OLINDA VISENTA ARMAS VICHARRA,LIMA LIMA ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MANUELA GEORGINA CASHU SANCHEZ,LORETO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PILAR ROJAS VILCHEZ,LORETO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARIANA IRIS LOZANO TOTE,CUSCO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MANUEL SANGAMA MURAYARI,LORETO  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,MARIA DEL CARMEN KOC ZEBALLOS,MOQUEGUA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,EDWIN JAIME LAMCHOG QUISPE,MOQUEGUA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,KAREN DENISSE MANDUJANO ATENCIO,PASCO  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,TERESA VEGA CENTENO MELGAR,ICA  ,FEMENINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,LUIS PELAYO AGUILAR ARENAZA ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,FERNANDO AZAÑERO SANDOVAL ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,EDWIN BENITO SOVERO ROMAN ,LIMA  ,MASCULINO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,EDILBERTO JAVIER ANGELES AGUILAR ,LIMA  ,MASCULINO
