ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,CENTRO_SECUNDARIA,FECHAS,GRADO1,GRADO2,GRADO3,GRADO4,GRADO5
FUERZA POPULAR,CONGRESISTA,MILTON,MIRANDA ROMAN ,Colegio Mercedario Dean Saavedra,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,MODESTO,FIGUEROA MINAYA ,Colegio Hermanos Ayar,1973 - 1973,1ERO,,,,
FUERZA POPULAR,CONGRESISTA,MODESTO,FIGUEROA MINAYA ,Colegio Humberto Luna,1974 - 1974,,2DO,,,
FUERZA POPULAR,CONGRESISTA,MODESTO,FIGUEROA MINAYA ,Colegio Mariano Melgar,1975 - 1975,,,3ERO,,
FUERZA POPULAR,CONGRESISTA,NATALIA GRETEL,MERA PINZON ,I.E.SR DE HUAMANTANGA,2002 - 2006,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,NELIDA,CALVO NANTIP,PUERTO GALILEA,1984 - 1989,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,NELLY LADY,CUADROS CANDIA ,LAS MERCEDES,1993 - 1994,1ERO,2DO,,,
FUERZA POPULAR,CONGRESISTA,NELLY LADY,CUADROS CANDIA ,P.A. GUAMÁN POMA DE AYALA,1995 - 1997,,,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,OCTAVIO EDILBERTO,SALAZAR MIRANDA ,COLEGIO NACIONAL DE SAN JOSE,1965 - 1970,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,OSIAS,RAMIREZ GAMARRA ,I.E.HORACIO ZEVALLOS,1989 - 1992,1ERO,2DO,3ERO,4TO,
FUERZA POPULAR,CONGRESISTA,OSIAS,RAMIREZ GAMARRA ,I.E.JOSÉ GÁLVEZ E,1992 - 1993,,,,4TO,5TO
FUERZA POPULAR,CONGRESISTA,OSWALDO,LUIZAR OBREGON ,COLEGIO NACIONAL DE CIENCIAS,1974 - 1978,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,PALOMA ROSA,NOCEDA CHIANG ,Juan XXIII,1992 - 1996,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,PATRICIA ELIZABETH,DONAYRE PASQUEL ,Inmaculada Concepcion,1985 - 1986,,,,,5TO
FUERZA POPULAR,CONGRESISTA,PATRICIA ELIZABETH,DONAYRE PASQUEL ,Sagrado Corazon,1982 - 1984,1ERO,2DO,3ERO,,
FUERZA POPULAR,CONGRESISTA,PATRICIA ELIZABETH,DONAYRE PASQUEL ,Sagrado Corazon,1985 - 1985,,,,4TO,
FUERZA POPULAR,CONGRESISTA,PAUL RICARDO,NEIRA DEL BEN,COLEGIO SANTA MARÍA DE CHINCHA,1984 - 1988,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,PERCY ELOY,ALCALA MATEO,G.U.E. ALFONSO UGARTE,1974 - 1978,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,RAMIRO,GUZMAN IBAÑEZ ,Jose María Arguedas,1981 - 1987,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,RAUL CESAR,FRANCO INGA ,CEP Alejandro Deustua,1982 - 1982,,,3ERO,,
FUERZA POPULAR,CONGRESISTA,RAUL CESAR,FRANCO INGA ,N° 0334763,1984 - 1984,,,,,5TO
FUERZA POPULAR,CONGRESISTA,RAUL CESAR,FRANCO INGA ,N° 0334763,1983 - 1983,,,,4TO,
FUERZA POPULAR,CONGRESISTA,RAUL CESAR,FRANCO INGA ,N° 0373761,1979 - 1979,1ERO,,,,
FUERZA POPULAR,CONGRESISTA,RAUL CESAR,FRANCO INGA ,N° 0373761,1981 - 1981,,2DO,,,
FUERZA POPULAR,CONGRESISTA,RENE GUILLERMO SIMON,MANRIQUE CUSIRRAMOS ,C.N. Francisco García Calderon,1966 - 1970,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,ROBERTO CARLOS MARTIN,ACRI SANCHEZ,C.P. SAN AGUSTIN ,1988 - 1989,1ERO,2DO,,,
FUERZA POPULAR,CONGRESISTA,ROBERTO CARLOS MARTIN,ACRI SANCHEZ,C.P. SAN MIGUEL,1990 - 1992,,,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,ROLANDO,REATEGUI FLORES ,I.E. JIMENEZ PIMENTEL,1972 - 1973,1ERO,2DO,,,
FUERZA POPULAR,CONGRESISTA,ROLANDO,REATEGUI FLORES ,I.E. OFELIA VELASQUEZ,1976 - 1978,,,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,ROSA MARIA,BARTRA BARRIGA ,C.N. SAN NICOLAS ,1985 - 1989,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,ROY ERNESTO,VENTURA ANGEL,COLEGIO FISCALIZADO DE CIENCIAS Y HUMANIDADES CHICRIN,1995 - 1996,1ERO,2DO,,,
FUERZA POPULAR,CONGRESISTA,ROY ERNESTO,VENTURA ANGEL,COLEGIO NACIONAL BENITO JUAREZ,1997 - 0,,,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,RUTH ESTHER,JAULIS QUICAÑA,I.E. Guaman Poma de Ayala,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,SEGUNDO LEOCADIO,TAPIA BERNAL ,C.N. SAN JUAN DE CHOTA,1980 - 1984,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,SOCRATES JUAN,NEIRA CUTIPA,I.E.S. MARIA AUXLIADORA ,1996 - 2000,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,TAMAR,ARIMBORGO GUERRA ,"COLEGIO ADVENTISTA ""AMAZONAS""",1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,VERONICA REBECA,ESCOBAL ORDOÑEZ ,Colegio Nacional Mixto Nº 80829 José Olaya Balandra,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,VICTOR AUGUSTO,ALBRECHT RODRIGUEZ ,ALCIDEZ VIGO HURTADO,1986 - 1987,,2DO,3ERO,,
FUERZA POPULAR,CONGRESISTA,VICTOR AUGUSTO,ALBRECHT RODRIGUEZ ,CHAMPAGNAT,1985 - 1985,1ERO,,,,
FUERZA POPULAR,CONGRESISTA,VICTOR AUGUSTO,ALBRECHT RODRIGUEZ ,RUBEN DARIO,1988 - 1989,,,,4TO,5TO
FUERZA POPULAR,CONGRESISTA,VICTOR ELVIS,MORI ZUMAETA ,CES. Loreto,1992 - 1994,,,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,VICTOR ELVIS,MORI ZUMAETA ,M. O. R. B.,1990 - 1991,1ERO,2DO,,,
FUERZA POPULAR,CONGRESISTA,WALTER JUAN,VASQUEZ CRUZ ,COLEGIO NACIONAL FRANCISCO LIZARZABURU,1969 - 1973,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,WILMER,AGUILAR MONTENEGRO,José Santos Chocano - C.P.M.  La Colca,1985 - 1988,1ERO,2DO,3ERO,4TO,
FUERZA POPULAR,CONGRESISTA,WILMER,AGUILAR MONTENEGRO,Sagrado Corazón de Jesús,1989 - 1989,,,,,5TO
FUERZA POPULAR,CONGRESISTA,WUILIAN ALFONSO,MONTEROLA ABREGU ,I.E.P JOHN F. KENNEDY ,1978 - 1982,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,YENI,VILCATOMA DE LA CRUZ,CEP. MARIA AUXILIDORA,1991 - 1995,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,CONGRESISTA,YESENIA,PONCE VILLARREAL DE VARGAS,LUIS FABIO XAMMAR,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,PRESIDENTE DE LA REPUBLICA,KEIKO SOFIA,FUJIMORI HIGUCHI,SS CC Recoleta,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE,CHLIMPER ACKERMAN,León Pinelo,1967 - 1971,1ERO,2DO,3ERO,4TO,5TO
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Colegio Claretiano,1966 - 1967,,,,4TO,5TO
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Colegio Guadalupe,1963 - 1963,1ERO,,,,
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Colegio Salesiano,1964 - 1964,,2DO,,,
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Colegio Señora de la Candelaria,1965 - 1965,,,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ADDY BENILDA,MAMANI MAMANI,NUESTRA SEÑORA DEL CARMEN ILAVE ,2002 - 2006,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ADERVALO,VELASQUEZ TENAZOA,PADRE  NICOLAS  GINER,1969 - 0,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ADERVALO,VELASQUEZ TENAZOA,PADRE NICOLAS GINER,1969 - 0,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ALAN JOEL,TAPIA ROBLES,CEBA SAN MARCOS,2006 - 2006,,,,4TO,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ALAN JOEL,TAPIA ROBLES,COLEGIO SEÑOR DE LOS MILAGROS,2001 - 2005,1ERO,2DO,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ALAN JOEL,TAPIA ROBLES,I.E. PRIVADA EL PACIFICO,2007 - 2007,,,,,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ALCIBIADES,PINTO MELENDEZ,colegio miguel grau - mariscal caceres - ayacucho,1967 - 1971,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ALIPIO,YANQUI ALEJO,C.A. SAN MARCOS,1997 - 1999,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ANA MARIA,BUENO ABANTO,C.E. Santa Teresita,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ANA MARIA,ARENAS ANGULO DE ESPINOZA,E. Sagrado Corazón de Jesús,1964 - 1968,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ARMANDO FABIO,ESPICHAN GUTIERREZ,I.E.P. DON BOSCO,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,BEDITH,BARBARAN LINARES,JUAN JIMENEZ PIMENTEL,1994 - 1995,,,,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,BEDITH,BARBARAN LINARES,OFELIA VELASQUEZ ,1990 - 1992,1ERO,2DO,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,BETTY LUZ,GRADOS PAREDES,C.E. El Comercio 139,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CARLOS ABAD,VARGAS ORTEGA,GRAN UNIDAD ESCOLAR SAN CARLOS PUNO,1987 - 1991,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CARLOS MARTIN,ROMANI SALAZAR,COLEGIO NACIONAL NUESTRA SEÑORA DE GUADALUPE,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CARLOS SIPRIANO,DE LA CRUZ HINOSTROZA,CENTRO EDUCATIVO SAN JUAN,1985 - 1989,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CAROLINA,VALERA VALLES,ALFONSO UGARTE,1981 - 1988,,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CAROLINA,VALERA VALLES,JUAN JIMENES PIMENTEL ,1977 - 1977,1ERO,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CECILIA TERESA DEL PILAR,SOTO HERRERA DE SANCHEZ,Santa Angela,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CESAR,CAMPOS RODRIGUEZ,Colegio Nacional San Juan,1961 - 1966,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CESAR,CHIA DAVILA ,GUE Oscar Benavides,1962 - 1966,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,CHRISTIAN ARMANDO P,VALDIVIA STAVRIANOS,I.E.P. SANTA MARTHA,1992 - 1996,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,DAVID,CORDOVA ANTUNEZ,GUE Jose Granda,1964 - 1969,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,DORI,TUESTA TUESTA,CEBA BENJAMIN FRANKLIN,1990 - 1990,,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,DORI,TUESTA TUESTA,EDUCACIÓN BASICA  ALTERNATIVA JULIO C. TELLO 1173,2010 - 2011,,,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,DORI,TUESTA TUESTA,TORIBIO RODRIGUEZ DE MENDOZA,1989 - 1989,1ERO,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDDA IMELDA,LOPEZ VERGARA,C.N.M FRANCISCA DIEZ CANCECO  DE CASTILLA ,1973 - 1977,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDGAR ADAN,SUPO PAZ,FEDERICO VILLAREAL,1982 - 1986,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDUARD JOHN,NAVARRO CALDERON,A.A. Caceres ,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDWIN ALFONSO,ESPINOZA CHAVEZ,NICOLAS COPERNICO,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ELENA FLORENTINA,URBANO SANCHEZ DE RAMIREZ,COMERCIAL,1966 - 1971,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FAUSTO LEONIDAS,SOBERON MUÑOZ,"Gran Unidad Escolar ""Meliton Carbajal""",1976 - 1980,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FELIX ALBERTO,COLICHON ORTIZ,Colegio Militar Elias Aguirre,1975 - 0,,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FELIX ALBERTO,COLICHON ORTIZ,Salesinao,1974 - 1975,1ERO,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FELIX ORLANDO,GAMARRA REYES,"C.N. DE ""SAN JOSE""",1990 - 1994,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FERNANDO,GOMEZ SAAVEDRA,C.N CASA GRANDE ,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FERNANDO,ZEBALLOS PATRON,SALESIANOS DON BOSCO - AREQUIPA,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FIDELIA JACQUELINE,LEIVA ALCALDE,C.E. Santa Teresita,1980 - 1980,,,,,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FIDELIA JACQUELINE,LEIVA ALCALDE,G.U.E. Santa Rosa,1976 - 1979,1ERO,2DO,3ERO,4TO,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,GERARDO BAYARDO,BLAS MIRANDA,Ricardo Bentín,1989 - 1994,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,GUILLERMO,CHAVEZ TIMOTEO,San Juan Bautista,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,HARLEY,DIAZ GUERRA,Institución Educativa Coronel Pedro Portillo,1986 - 1991,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,HAYDEE,CASTILLO VALIENTE DE SANCHEZ,LA INMACULADA,1978 - 1982,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,HECTOR,GUILLEN VALENCIA,C.N. LA VICTORIA DE AYACUCHO,1982 - 1987,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,HILDA,MIRANDA CACHI,C.E.S.C. 45- PUNO,1992 - 1996,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,HUMBERTO,PINAZO BELLA,José Granda,1965 - 1969,,,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,HUMBERTO,PINAZO BELLA,San Juan Bautista,1951 - 1952,1ERO,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,INGRID ELIZABETH,MARCOS MARCOS,LUIS FABIO XAMMAR,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAIME FELIX,ESCUDERO MENDOZA,ANDRES RAZURI,1960 - 1960,1ERO,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAIME FELIX,ESCUDERO MENDOZA,GUE JOSE M EGUREN,1961 - 1962,,2DO,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAIME FELIX,ESCUDERO MENDOZA,KILLEBREW,1981 - 1981,,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAIME FELIX,ESCUDERO MENDOZA,SANTA ROSA,1963 - 1964,,,,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JANET LILIANA,ROJAS CALDERON,C.N. de Mujeres Miguel Grau,1978 - 1983,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAVIER FERNANDO,ARCE ALVARADO,IE Manuel Touar - Sayan ,1982 - 1986,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JORGE,BALBIN CONDOR,GUE Pedro A.Labarthe,1968 - 1973,,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JORGE LUIS,BARBOZA GAYOSO,Inst. Agropecuario Nª 1,1972 - 1976,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ANTONIO,BAFFIGO TORRE,Colegio Latino Americano,1960 - 1965,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSE ARISTIDES,GUERRA URRUCHI,POLITÉCNICO REGIONAL DEL CENTRO ,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JOSUE DANIEL,CHAVEZ ARAUJO,C.E. Ramon Castilla,2007 - 2011,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JUAN COLOMBINO,ROJAS FALCON,Unidad Escolar Leoncio Prado,1956 - 1961,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIA MARIA,RONDAN FARFAN,CLORINDA MATTO DE TURNER,1998 - 1999,,,,4TO,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIA MARIA,RONDAN FARFAN,DAVID SAMANEZ OCAMPO,1996 - 1998,1ERO,2DO,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIA MARIA,RONDAN FARFAN,IEP SAN AGUSTÍN ,1999 - 2000,,,,,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIO CESAR,CAIRA MACEDO,GRAN UNIDAD ESCOLAR INCA GARCILASO DE LA VEGA,1976 - 1980,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIO ERNESTO,CARDENAS ASPAJO,Colegio Lima San carlos,1965 - 1965,,,,,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JULIO ERNESTO,CARDENAS ASPAJO,Colegio Lima San carlos,1959 - 1964,1ERO,2DO,3ERO,4TO,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JYOMAR YUNIOR,FAUSTINO TOLENTINO,JORGE BASADRE DEL VALLE,1994 - 1998,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,KLEBERTH MARIO,CAMPOS JURADO,JOSE A. ENCINAS ,1976 - 1980,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LAURA MICAELA,RIVAS QUIROZ,"C.E,P.  La Inmaculada-Chiclayo",1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEANDRO AFRADE,CERNA HERRERA,Nº 88161,1976 - 1981,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONARDO,BASILIO VENTURA,G.U.E. Mercader Cabello de Carbonera,1971 - 1981,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONEL MILTON,FALCON GUERRA,SAN LUIS GONZAGA DE ICA,1973 - 1977,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONOR,SAIRE MARCAVILLACA VDA DE ROJAS,C. E. HUMBERTO LUNA,1976 - 1982,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LILA YSABEL,DEL AGUILA SORIA DE PRINCE,INSTITUCIÓN EDUCATIVA CORONEL PEDRO PORTILLO,1984 - 0,,,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LILA YSABEL,DEL AGUILA SORIA DE PRINCE,INSTITUCION EDUCATIVA LA INMACULADA,1985 - 1986,,,,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LILA YSABEL,DEL AGUILA SORIA DE PRINCE,INSTITUCIÓN EDUCATIVA PARTICULAR BAUTISTA,1982 - 1983,1ERO,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LINO,HUAMANI AYALA,CES JOSE ANTONIO ENCINAS DE PUNO ,1986 - 1990,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LORENA YALU,ELIAS AYAY,CE BEATA ANA MARIA JAVOUHEY,2003 - 2007,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LUIS BELTRAN,ARONES HUALLANCA,Gran Unidad Escolar José Granda,1972 - 0,,,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LUIS BELTRAN,ARONES HUALLANCA,I.E. Manuel Gonzales Prada de Canaria,1970 - 1971,1ERO,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LUZ IRENE,VASQUEZ RAMIREZ,Nuestra Señora de Fatima,1979 - 1979,1ERO,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LUZ IRENE,VASQUEZ RAMIREZ,San José de Tarbes,1980 - 1983,,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MANUEL,MEJIA ANTON,Juan Manuel Iturregui,1970 - 1974,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MANUEL JOSE,ROLDAN REYES,C.S.M - CHARAT,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIA,GUTIERREZ DELGADO,Colegio fe y Alegria y C.N. Chimpu Occllo,1966 - 1970,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIA DE LA CRUZ,ABANTO URBINA,C.E. Juan 23 ,1979 - 1983,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIA ELENA,PONCE DE GARCIA,Inca Garcilaso de la Vega ,1978 - 1984,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIA ESTHER,PALOMINO AMARO,I.E. Maria Inmaculada,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIO HENRY,GARCIA QUISPE,C.E. Toribio Seminario,1980 - 1980,1ERO,,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIO HENRY,GARCIA QUISPE,C.E.P. Niño Jesus,1982 - 1982,,,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIO HENRY,GARCIA QUISPE,C.E.P. Niño Jesus,1984 - 1984,,,,,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIO HENRY,GARCIA QUISPE,C.E.P. Niño Jesus ,1983 - 1983,,,,4TO,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MARIO HENRY,GARCIA QUISPE,Los Proceres - Surco,1981 - 1981,,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MAXIMILIANA,LLOCLLA TORRES,Latino Americano,1981 - 1986,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MERCEDES GISELA,CAMONES HINOSTROZA,LUIS FABIO XAMMAR,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MILKA JACQUELINE,SILVA MENDOZA,C.E.P. INMACULADA,1986 - 1987,1ERO,2DO,,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MILKA JACQUELINE,SILVA MENDOZA,C.E.P. MARÍA AUXILIADORA,1988 - 1989,,,3ERO,4TO,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MILKA JACQUELINE,SILVA MENDOZA,COLEGIO NACIONAL ELVIRA GARCÍA Y GARCIA,1990 - 1990,,,,,5TO
PARTIDO HUMANISTA PERUANO,CONGRESISTA,NICANOR,NINA CUYA ,Maria Parado de Bellido,1976 - 1978,1ERO,2DO,3ERO,,
PARTIDO HUMANISTA PERUANO,CONGRESISTA,NORMA,URBINA HUAMAN,COlegio Nacional Francisca Diez Canseco de Castilla,1982 - 1986,1ERO,2DO,3ERO,4TO,5TO
