ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_CENTRO,NOMBRE_CARRERA,FECHAS,CONCLUIDO
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,UNDAC PASCO,TUTORIA EDUCATIVA,2014 - 0,Concluido
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"UNIVERSIDAD NACIONAL ""GUZMÁN Y VALLE""",EDUCACION PRIMARIA,2005 - 2005,Concluido
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"ISP. "" TORIBIO RODRIGUEZ DE MENDOZA""",EDUCACION,1982 - 1985,Concluido
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,CENTRO CULTURAL PONTIFICA UNIVERSIDAD CATOLICA,TALLER DE CIENCIA POLITICA,2011 - 2011,Concluido
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,ACADEMIA DE MAGISTERES Y DOCTORES,CONCILIACION EXTRAJUDICIAL ,1997 - 1997,Concluido
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,IST 4 DE JUNIO 1821-JAEN,TECNICO EN CONTABILIDAD,1990 - 1992,Concluido
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,CESAM- LIMA,SECRETARIADO EJECUTIVO,1987 - 1988,Concluido
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,ESCUELA MILITAR DE CHORRILLOS,FORMACIÓN DE OFICIALES DEL EJERCITO,1992 - 1995,Concluido
ACCION POPULAR,CONGRESISTA,GIOVANNA ELIZABETH,CASTRO VILLANUEVA,ISP. HNO. VICTORINO ELORZ GOICOCHEA,HISTORIA Y GEOGRAFIA,1991 - 1996,Concluido
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,IPAE,ADMINISTRACIÓN DE PERSONAL ,1985 - 1985,Concluido
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,COUNCIL FOR PROFESSIONAL RECONGNITTION,CHILD DEVELOPMENT ASOCIATE,2009 - 2013,Concluido
ACCION POPULAR,CONGRESISTA,GLORIA ESTHER,CHIROQUE QUIÑONES,IST COSMOS,SECRETARIADO COMERCIAL,1972 - 1972,Concluido
ACCION POPULAR,CONGRESISTA,JORGE EDUARDO,APONTE REY,I.R.S.E.F.,EDUCACION FISICA,1968 - 1971,Concluido
ACCION POPULAR,CONGRESISTA,JULIO SALVADOR,CORREA CHAVEZ,I.S.P. Ciro Alegría Bazan ,Contabilidad ,1988 - 1990,Concluido
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,PATMOS - NUEVAS TENDENCIAS; MINJUS,C. E. ESPECIALIZADA EN FAMILIA,2012 - 2012,Concluido
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,PATMOS - NUEVAS TENDENCIAS; MINJUS,C. E. BÁSICA,2012 - 2012,Concluido
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,CENTRO INTERNACIONAL DE ADMINITRACIÓN,MEDIACIÓN Y CONCILIACIÓN,2000 - 2000,Concluido
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,ESCUELA DE INTELIGENCIA NACIONAL,INTELIGENCIA ESTRATEGICA,1986 - 0,Concluido
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,CONSORCIO EDUCATIVO ABACO- EIGER,PROGRAMA DE CAPACITACIÓN DE OFIMÁTICA ,2009 - 0,Concluido
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.E.S.T.P "" ANDRÉS VESALIO"" ",COMPUTACIÓN E INFORMÁTICA ,2013 - 2013,Concluido
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,Suny/ Westchester Community College,Home Remodeling,1998 - 1998,Concluido
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,ESC SUPERIOR DE POLICIA,COEM - PRIMER PUESTO,1990 - 0,Concluido
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,EO . PNP (EX -GRP),SITE GRP / ESPADA DE HONOR,1973 - 1976,Concluido
ACCION POPULAR,CONGRESISTA,RAUL BENJAMIN,PIZARRO MAYORCA,E.N.S. ENRIQUE GUZMAN Y VALLE,QUIMICA MATEMATICA,1964 - 1967,Concluido
ACCION POPULAR,CONGRESISTA,SILVIA ROSARIO,CHAVEZ SAAVEDRA,ISP CARLOS MEDRANO VASQUEZ,BIOLOGIA Y QUIMICA,1992 - 1997,Concluido
ACCION POPULAR,CONGRESISTA,TSETSEG ELSA,NUNCANQUIT QUIROZ,"ISPP  "" VICTOR ANDRES BELUNDE""",EDUCACION ,2012 - 0,Concluido
ACCION POPULAR,CONGRESISTA,VICTOR ANDRES,GARCIA BELAUNDE,ESCUELA NAVAL DEL PERU,MARINA DE GUERRA,1965 - 1967,No Concluido
ACCION POPULAR,CONGRESISTA,YANETT,FERIA DE TONG,ISP ALMIRANTE MIGUEL GRAU,DOCENCIA,1985 - 1989,Concluido
ACCION POPULAR,CONGRESISTA,YOLANDA,MORI RAMIREZ,PROFECIONALIZACION DOCENTE,I.S.P.E. TARAPOTO,1985 - 1995,Concluido
ACCION POPULAR,PRIMER VICEPRESIDENTE DE LA REPUBLICA,VICTOR ANDRES,GARCIA BELAUNDE,ESCUELA NAVAL DEL PERU,MARINA DE GUERRA,1965 - 1967,No Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AIDA AZUCENA,LOZANO TRUJILLO,ESCUELA NORMAL JUAN XXIII,CIENCIAS NATURALES,1976 - 1979,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,MATEMATICA,I.S.P. ELORZ GOICOCHEA,1988 - 1990,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,PRIMARIA,PRIMARIA,1986 - 1987,No Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,DANIEL HUGO,BARRAGAN COLOMA ,ESCUELA DE OFICIALES FAP,ADMINISTRACIÓN GENERAL ,1981 - 1985,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,DANIEL HUGO,BARRAGAN COLOMA ,CAEN,DEFENSA Y DESARROLLO NACIONAL,1999 - 1999,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ELIO NICOLAS,ARCAYA TASAYCO,I.S.T.P. ARGENTINA,ADMINISTRACION,1997 - 1999,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ERNESTO ADOLFO,FLORES VILLAVICENCIO,Escuela Militar de Chorrilos,Infanteria,1974 - 1976,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ALEJANDRO,VEGA ANTONIO ,Colegio de Abogados del Cono Norte,Conciliación Extrajudicial,2000 - 2001,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,SEMBRANDO VALORES,GESTIÓN DE CONTROL GUBERNAMENTAL,2010 - 2010,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,CENTRO DE INSTRUCCIÓN SUPERIOR - PIP,---,1966 - 1970,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,MINISTERIO DE ECONOMÍA Y FINANZAS,AUDITORIA TRIBUTARIA,1976 - 1976,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,CENTRO DE ALTOS ESTUDIOS MILITARES,---,1996 - 1996,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MANUELA GEORGINA,CASHU SANCHEZ,IPAE,ADMINISTRACION DE EMPRESAS,2001 - 2002,No Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARIA DEL CARMEN,KOC ZEBALLOS,APECOSE,SEGUROS,2005 - 2005,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARIA DEL CARMEN,KOC ZEBALLOS,CEO  Cesar Vallejo,Secretariado,2000 - 2000,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ORESTES POMPEYO,SANCHEZ LUIS ,CENTRO DE FORMACIÓN PROFESIONAL AVENDAÑO,CONCILIACIÓN,2009 - 2009,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OSCAR,CORDOVA BASILIO,PROGRAMA MINISTERIAL,ESCUELA DE CRISTO INTERNACIONAL,2000 - 2000,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OSCAR,CORDOVA BASILIO,EDUCACIÓN MINISTERIAL,INSTITUTO BÍBLICO ADP ,1997 - 1999,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROMAN LUIS,MARCELO CALLUPE,"Instituto Superior Pedagógico Público ""Gamaniel Blanco Murillo""",Primaria,1985 - 1989,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILFREDO,QUISPE GUTIERREZ ,INSTITUTO SUPERIOR HONORIO DELGADO ESPINOZA,MECANICA DE PRODUCCIÓN,2003 - 2005,Concluido
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,ESCUELA DE PERIODISMO JAIME BAUSATE MESA ,PERIODISMO,1975 - 1977,No Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ARCADIO JULIO,ARROYO MIRANDA ,ESCUELA NACIONAL SUPERIOR MIXTA,EDUCACIÓN,1976 - 1979,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,COLEGIO DE ABOGADOS DE HUANCAVELICA,DIPLOMADO EN DERECHO CONSTITUCIONAL,2008 - 2008,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,ESCUELA NACIONAL DE ESPECIALIZACIÓN PARA EJECUTIVOS,DERECHO ADMINISTRATIVO,2007 - 2007,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CARLOS ALBERTO,ANCCO SOTOMAYOR ,CONTABILIDAD,"I.E.S.T ""PÚBLICO LA MERCED""",2001 - 2004,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,DAVID OSVALDO,CALDERON DE LOS RIOS ,"E.S.A.D. ""VIRGILIO RODRIGUEZ NACHE""",TEATRO,1988 - 1989,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,DAVID OSVALDO,CALDERON DE LOS RIOS ,"E.S.A.D. ""VIRGILIO RODRIGUEZ NACHE""",TEATRO,1980 - 1985,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA,VASQUEZ RUIZ ,I.S.T. RIOJA,PROFESINAL TECNICO EN AGROPECUARIA,1993 - 1994,No Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA,VASQUEZ RUIZ ,I.S.T. ALTO MAYO,AGROPECUARIA,1995 - 1996,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FATIMA,PIZANGO SALAZAR ,INST. SUPERIOR PEDAGOGICO NUESTRA SEÑORA DEL ROSARIO,DOCENTE,1998 - 2003,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,UNIVERSIDAD NACIONAL DE TRUJILLO,GESTION PUBLICA,2012 - 2013,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,UNIVERSIDAD PEDRO RUIZ GALLO,FORTALECIMIENTO DE CAPACIDADES Y COMPETENCIAS EN LIDERAZGO Y GESTION EMPRESARIAL,2011 - 2011,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GIOVANNA JEANICE,ARANIBAR ROSAS ,ROYAL ACADEMIC OF MUSIC,TEORIA MUSICAL,1989 - 1989,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JENNY CLARIVEL,NUÑEZ MARIN ,CENTRO DE ALTOS ESTUDIOS NACIONALES,DESARROLLO Y DEFENSA NACIONAL,2007 - 2007,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS CARLOS ANTONIO,IBERICO NUÑEZ,CENTRO DE ALTOS ESTUDIOS NACIONALES,DESARROLLO Y DEFENSA NACIONAL,2001 - 2001,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS CARLOS ANTONIO,IBERICO NUÑEZ,COMANDO DE RESERVA Y MOVILIZACIÓN DEL EJÉRCITO (COREMOVE),II CURSO DE OFICIALES DE RESERVA DEL EJÉRCITO,2010 - 2010,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ENRIQUETA,RIVERA DELGADO ,EDUCACIÓN PRIMARIA,PROFESIONALIZACIÓN EN EDUCACIÓN,1984 - 1986,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SABINA,CARDENAS CANALES ,ESCUELA NORMAL MIXTA DE CHINCHA,EDUCACIÓN PRIMARIA,1979 - 1983,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TADEO ANASTACIO,GUARDIA HUAMANI,CENTRO DE ALTOS ESTUDIOS NACIONALES,CURSO ESPECIAL DE GOBIERNOS LOCALES,2003 - 2003,Concluido
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,E.P.N.P. MARIANO SANTOS MATEO,GUARDIA CIVIL,1983 - 1983,Concluido
ALIANZA POPULAR,CONGRESISTA,ALBERTO,MESSA MEZA ,IST.  Pedro P  Diaz,Electronica,1978 - 1980,Concluido
ALIANZA POPULAR,CONGRESISTA,ALBERTO,MESSA MEZA ,IST.  Pedro P  Diaz,Electronica,1978 - 1980,Concluido
ALIANZA POPULAR,CONGRESISTA,EDGARDO RENAN,DE POMAR VIZCARRA,Escuela Militar de Chorrillos,Escuela de Oficiales,1978 - 1981,Concluido
ALIANZA POPULAR,CONGRESISTA,ELMER MIGUEL,HIDALGO MEDINA,CENTRO ALTOS ESTUDIOS NACIONALES,DEFENSA Y DESARROLLO NACIONAL,2002 - 2002,Concluido
ALIANZA POPULAR,CONGRESISTA,ELMER MIGUEL,HIDALGO MEDINA,ESCUELA DE OFICIALES,FORMACION DE OFICIALES,1973 - 1976,Concluido
ALIANZA POPULAR,CONGRESISTA,ELSA,PUTPAÑA RUIZ ,Universidad Nacional de Trujillo,Gerencia Social,2014 - 2015,Concluido
ALIANZA POPULAR,CONGRESISTA,GLADYS SOLEDAD,ARCE LOPEZ,I.S. Publico Pedagogico - Huancavelica,Educacion Primaria,1991 - 1995,Concluido
ALIANZA POPULAR,CONGRESISTA,GRACIELA NORA,DIAZ DUEÑAS,ESC. NORMAL SUP. CORAZÓN DE MARÍA,OBS. TITULO Nº 58497 M DE EDUCACION - ACTUAL I.S.P.P. JOSE JIMENES BORJA,1967 - 1970,Concluido
ALIANZA POPULAR,CONGRESISTA,JAVIER RENATO,MORAN MORAN,MINISTERIO DE DEFENSA - UCV,DIPLOMADO DE DEFENSA NACIONAL,2008 - 2008,Concluido
ALIANZA POPULAR,CONGRESISTA,JAVIER RENATO,MORAN MORAN,FU HSING KANG,ECONOMÍA ,2001 - 2001,Concluido
ALIANZA POPULAR,CONGRESISTA,JESUS ARTURO,ESPINOZA CERRON ,ASIMARC,CAPACITACIÓN CONCILIADORES,2013 - 2013,Concluido
ALIANZA POPULAR,CONGRESISTA,JESUS ARTURO,ESPINOZA CERRON ,ASIMARC,CAPACITACION CONCILIACION ESPECIALIZADOS,2013 - 2013,Concluido
ALIANZA POPULAR,CONGRESISTA,JUAN CARLOS,EGUREN NEUENSCHWANDER ,UNIVERSIDAD DE TARAPACA,GESTION DE MARKETING ,1993 - 1993,Concluido
ALIANZA POPULAR,CONGRESISTA,LUCIANA MILAGROS,LEON ROMERO,Ejercito del Perú,II Curso Oficiales de Reserva del Ejercito,2010 - 2010,Concluido
ALIANZA POPULAR,CONGRESISTA,LUISA,SOTELO LUNA ,I.S.P. Lasalle,Educación,1981 - 1984,Concluido
ALIANZA POPULAR,CONGRESISTA,LUISA,SOTELO LUNA ,I.S.P LASALLE,EDUCACION,1981 - 1984,Concluido
ALIANZA POPULAR,CONGRESISTA,MARITZA,CASTRO TAVARA,GOLDA MEIR,"EDUCACION, SALUD Y BIENESTAR DEL NIÑO EN EDAD PRE ESCOLAR",1998 - 1998,Concluido
ALIANZA POPULAR,CONGRESISTA,PAUL ERWIN,PFLÜCKER FAVERON ,INTERNATIONAL COACHING CETIFICATION,INTERNATIONAL TEAM COACHING CERTIFICATION TRAINING,2013 - 2013,Concluido
ALIANZA POPULAR,CONGRESISTA,PAUL ERWIN,PFLÜCKER FAVERON ,INTERNATIONAL COACHING CETIFICATION,INTERNATIONAL COACHING CERTIFICATION TRAINING,2013 - 0,Concluido
ALIANZA POPULAR,CONGRESISTA,ROFILIO T,NEYRA HUAMANI ,IPAE,DIPLOMADO EN ADMINISTRACIÓN GERENCIAL,2009 - 2010,Concluido
ALIANZA POPULAR,CONGRESISTA,ROSA LILIANA,TORRES CASTILLO ,INSTITUTO SUPERIOR PUBLICO,EDUCACION PRIMARIA,1984 - 1988,Concluido
ALIANZA POPULAR,CONGRESISTA,SARITA SOBEYDA,QUISPE MARCA ,COLUMBUS,INGLES,2007 - 2007,No Concluido
ALIANZA POPULAR,CONGRESISTA,SARITA SOBEYDA,QUISPE MARCA ,COLUMBUS,COMPUTACION,2007 - 2007,No Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,CARMITA,CALVA GUERRERO ,I.S.P VICTOR ANDRES BELAUNDE,EDUCACION,1996 - 2001,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,CESAR AUGUSTO,BAZAN RUBIO ,(CGR) ESCUELA NAC. CTROL,AUD. SISTEMAS INFORMATICOS,2000 - 2000,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,CESAR AUGUSTO,BAZAN RUBIO ,(ESAN) ESCUELA NACIONAL DE NEGOCIOS,ADMINISTRACION  & NEGOCIOS,1983 - 1983,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,DIOMEDES,DE LA CRUZ CASTRO ,UNIV. S.M.P,MATEMATICA,1989 - 1989,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,INSTITUTO NACIONAL DE INVESTIGACIÓN Y DESARROLLO DE LA EDUCACIÓN,PRIMARIA Y SECUNDARIA ESPECIALIDAD EDUCACIÓN FÍSICA,1979 - 1984,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,FELIPA DELIA,TRUJILLO ALPAJA ,FELIPE M. ROTALDE,ENFERMERIA,1978 - 1981,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,FREDDY,MERMA DAMIAN ,ISPP NELSON ROCKEFELLER,EDUCACION PRIMARIA,2005 - 2010,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,GERARDINA,TORRES TOLEDO ,ANDRE VESALIO,COMPUTACION  E INFORMATICA,2013 - 2013,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,GUIDALTE,ZAVALA RIVERA,INSTITUTO SUPERIOR DE CIENCIAS ADMINISTRATIVAS,BACHILLER PROFESIONAL,1978 - 1982,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,HERMES EVELIO,CAUNA MORALES ,UNIVERSIDAD DE SAN MARTÍN DE PORRES,LIDERES PARA LA TRANSFORMACION,2005 - 2006,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE,GROVAS GONZALES,INSTITUTO SUPERIOR PEDAGOGICO SANTA ROSA DEL CUSCO,VARIAS,1993 - 1997,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,JOVITA,REATEGUI CUMAPA,E.R.D.C.E.I.R.L. RADIO VISIÓN,SEMINARIO DE ORATORIA Y LOCUCIÓN PROFESIONAL,1998 - 1999,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,JOVITA,REATEGUI CUMAPA,UNIVERSIDAD NACIONAL DE TRUJILLO,DOCENCIA EN EDUCACIÓN INICIAL,2011 - 2012,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,JUAN CARLOS,GONZALES CALLA,I.S PEDRO P. DIAZ,CONSTRUCCION CIVIL,1987 - 1989,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,JUAN PABLO,LA ROSA GALLARDO ,CENTRO DE INVESTIGACION PARA EL DESARROLLO TECNOLOGICO - CIDET,COMPUTACION E INFORMATICA,2000 - 2001,No Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,JULIO CESAR,MALDONADO ALBARRACIN,ESCUELA NORMAL SUPERIOR MIXTA INDOAMERICA,FISICA MATEMATICA,1967 - 1970,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,KETTY FLOR,CASTILLO PADILLA,INSTITUTO SUP. PRIVADO LA CATOLICA,TECNICO EN CONTABILIDAD,1996 - 1998,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LILA LUCERO,CASAS CHUQUISPUMA ,U.N.J.F.S.C,GESTIÓN EN TURISMO Y HOTELERÍA,2002 - 2006,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS ALBERTO,AYQUIPA ZELA,CEC GUAMAN POMA DE AYALA,DIPLOMA EN PLANIFICACION Y GESTION URBANISTICA AMBIENTAL,2001 - 2001,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS DICSON,SANCHEZ ABAD,UNIVERSIDAD NACIONAL DE TUMBES,AGRONOMÍA,2005 - 2011,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS LUCHO,ROJAS HUAMANI ,UNIVERSIDAD DEL PACIFICO,PROYECTOS SOCIALES,2005 - 2006,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS SALOMON,VALDEZ RODRIGUEZ,INSTITUTO NACIONAL DE INVESTIGACION DE LA EDUCACION DEPENDIENTE DEL MINISTERIO DE EDUCACION,PROFESOR DE MATEMÁTICAS Y EDUCACIÓN FÍSICA,1986 - 1990,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS SALOMON,VALDEZ RODRIGUEZ,INSTITUTO TECNOLOGICO ARGENTINO ITAE,CONTABILIDAD Y ADMINSTRACION DE EMPRESAS,1974 - 1976,No Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS SALOMON,VALDEZ RODRIGUEZ,IPD,TECNICO EN FUTBOL,1992 - 1996,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,MARGARITA,MORI NAVARRO,INSTITUTO PEDAGOGICO LORETO,EDUCACION PRIMARIA,1979 - 1993,No Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,RAUL,SANCHEZ MIRANDA,ISPNE (AUGUSTO SALAZAR BONDY),PROBLEMAS DE APRENDIZAJE,1990 - 1995,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,RAUL ADOLFO,ARIAS RAMOS ,IST GILDA BALLIVIAN ROSADO,ELECTRONICA,1990 - 1992,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,SANTA ILUMINA,LANDEO CHIPANA ,INST. ALBERT EINSTEIN,SECRETARIADO,1983 - 1983,No Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,SEVERIANO HIGOR,RODRIGUEZ TORRES ,UNIVERSIDAD DEL PACIFICO,DESARROLLO ADMINISTRATIVO,1998 - 1998,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,WILLIAM JUNIOR,SANCHEZ TORRES ,UNIVERSIDAD NACIONAL SAN AGUSTIN DE AREQUIPA,DERECHO AMBIENTAL,2013 - 2013,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,ZAIRA JENNIFER,COLLAZOS REGALADO,"INSTITUTO SUPERIOR ""CHILIMASA""",EDUCACIÓN PRIMARIA,2004 - 2009,Concluido
DEMOCRACIA DIRECTA,CONGRESISTA,ZEBELIO,KAYAP JEMPEKIT ,I.E.S.P. VICTOR ANDRÉS BELAUNDE,EDUCACIÓN PRIMARIA,2000 - 2004,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ADELINDA,DIAZ URIARTE,MANUELA RAMOS,EL TRABAJO DEL CUIDADO DE LA MUJER,2014 - 2015,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ADELINDA,DIAZ URIARTE,LIDERAZGO,LIDERAZGO,2013 - 2015,No Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ANGELA LEONOR,VILLON BUSTAMANTE ,REDES LATINOAMERICANA EN VIH Y SIDA,CONSULTORES COMUNITARIOS,2005 - 2005,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,AURELIO,CHOQUEHUANCA CONDORI,EDUCACION,ESCUELA NOR. SUPERIOR,1966 - 1970,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,CARLOS GREGORIO,CORNEJO SUCLLA ,NORMAL SUPERIOR SAN JUAN BAUTISTA,PROFESOR PRIMARIA,1967 - 1970,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,DIANA DEL PILAR,ORDOÑEZ FLORES,INST. PEDAGOGICO EL PACIFICO,-,1999 - 2000,No Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,DIANA DEL PILAR,ORDOÑEZ FLORES,IPAE,-,2005 - 2006,No Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,EDGAR AMERICO,OCHOA PEZO ,INSTITUTO E.S. SANTA ROSA,EDUCACION,1985 - 1989,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ESTHER,FLORES CARLOS,CENTRO DE FORMACION Y CAPACITACION DE CONCILIADORES,FORMACION  Y CAPACITACION DE CONCILIADORES EXTRAJUDICIALES,2012 - 2012,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,IDER LUIS,GUTIERREZ QUISPE,ESEP Cañete,estudios superiores técnicos en área agropecuaria ,1976 - 1980,Concluido
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JESUS LUIS,CAMPOS MUÑOZ ,I.S.P.P. PUNO,FISICO QUIMICO,1987 - 1991,Concluido
